date,vix,vix9d
2015-06-22,12.740000,13.150000
2015-06-23,12.110000,12.170000
2015-06-24,13.260000,14.810000
2015-06-25,14.010000,15.130000
2015-06-26,14.020000,15.490000
2015-06-29,18.850000,22.560000
2015-06-30,18.230000,20.930000
2015-07-01,16.090000,17.230000
2015-07-02,16.790000,17.970000
2015-07-06,17.010000,16.650000
2015-07-07,16.090000,15.910000
2015-07-08,19.660000,20.960000
2015-07-09,19.970000,22.060000
2015-07-10,16.830000,17.240000
2015-07-13,13.900000,13.320000
2015-07-14,13.370000,12.180000
2015-07-15,13.230000,12.400000
2015-07-16,12.110000,10.350000
2015-07-17,11.950000,9.720000
2015-07-20,12.250000,11.100000
2015-07-21,12.220000,11.320000
2015-07-22,12.120000,11.200000
2015-07-23,12.640000,11.950000
2015-07-24,13.740000,13.050000
2015-07-27,15.600000,16.610000
2015-07-28,13.440000,13.620000
2015-07-29,12.500000,12.180000
2015-07-30,12.130000,11.060000
2015-07-31,12.120000,10.670000
2015-08-03,12.560000,12.120000
2015-08-04,13.000000,12.420000
2015-08-05,12.510000,11.510000
2015-08-06,13.770000,13.660000
2015-08-07,13.390000,13.040000
2015-08-10,12.230000,11.440000
2015-08-11,13.710000,14.130000
2015-08-12,13.610000,14.270000
2015-08-13,13.490000,13.630000
2015-08-14,12.830000,11.770000
2015-08-17,13.020000,11.290000
2015-08-18,13.790000,12.140000
2015-08-19,15.250000,14.340000
2015-08-20,19.140000,20.880000
2015-08-21,28.030000,38.960000
2015-08-24,40.740000,54.610000
2015-08-25,36.020000,44.920000
2015-08-26,30.320000,37.880000
2015-08-27,26.100000,28.890000
2015-08-28,26.050000,27.110000
2015-08-31,28.430000,28.260000
2015-09-01,31.400000,31.210000
2015-09-02,26.090000,24.260000
2015-09-03,25.610000,23.990000
2015-09-04,27.800000,26.880000
2015-09-08,24.900000,24.420000
2015-09-09,26.230000,27.900000
2015-09-10,24.370000,26.110000
2015-09-11,23.200000,23.430000
2015-09-14,24.250000,25.520000
2015-09-15,22.540000,24.620000
2015-09-16,21.350000,23.750000
2015-09-17,21.140000,22.250000
2015-09-18,22.280000,21.780000
2015-09-21,20.140000,19.610000
2015-09-22,22.440000,23.450000
2015-09-23,22.130000,22.460000
2015-09-24,23.470000,24.220000
2015-09-25,23.620000,22.890000
2015-09-28,27.630000,30.260000
2015-09-29,26.830000,28.560000
2015-09-30,24.500000,25.700000
2015-10-01,22.550000,21.930000
2015-10-02,20.940000,19.350000
2015-10-05,19.540000,19.020000
2015-10-06,19.400000,18.190000
2015-10-07,18.400000,16.390000
2015-10-08,17.420000,15.470000
2015-10-09,17.080000,14.270000
2015-10-12,16.170000,14.730000
2015-10-13,17.670000,16.530000
2015-10-14,18.030000,16.900000
2015-10-15,16.050000,13.850000
2015-10-16,15.050000,12.890000
2015-10-19,14.980000,13.870000
2015-10-20,15.750000,15.010000
2015-10-21,16.700000,16.670000
2015-10-22,14.450000,13.100000
2015-10-23,14.460000,13.150000
2015-10-26,15.290000,15.200000
2015-10-27,15.430000,16.310000
2015-10-28,14.330000,14.570000
2015-10-29,14.610000,14.540000
2015-10-30,15.070000,14.310000
2015-11-02,14.150000,13.680000
2015-11-03,14.540000,13.810000
2015-11-04,15.510000,14.760000
2015-11-05,15.050000,14.220000
2015-11-06,14.330000,12.600000
2015-11-09,16.520000,16.390000
2015-11-10,15.290000,14.290000
2015-11-11,16.060000,15.600000
2015-11-12,18.370000,18.390000
2015-11-13,20.080000,20.430000
2015-11-16,18.160000,16.810000
2015-11-17,18.840000,17.020000
2015-11-18,16.850000,13.330000
2015-11-19,16.990000,13.620000
2015-11-20,15.470000,12.400000
2015-11-23,15.620000,14.070000
2015-11-24,15.930000,14.540000
2015-11-25,15.190000,14.350000
2015-11-27,15.120000,14.210000
2015-11-30,16.130000,16.600000
2015-12-01,14.670000,13.990000
2015-12-02,15.910000,15.970000
2015-12-03,18.110000,18.710000
2015-12-04,14.810000,13.650000
2015-12-07,15.840000,16.000000
2015-12-08,17.600000,18.810000
2015-12-09,19.610000,22.070000
2015-12-10,19.340000,20.420000
2015-12-11,24.390000,28.000000
2015-12-14,22.730000,25.780000
2015-12-15,20.950000,23.050000
2015-12-16,17.860000,18.810000
2015-12-17,18.940000,18.880000
2015-12-18,20.700000,19.380000
2015-12-21,18.700000,17.550000
2015-12-22,16.600000,15.060000
2015-12-23,15.570000,13.640000
2015-12-24,15.740000,13.470000
2015-12-28,16.910000,15.790000
2015-12-29,16.080000,14.740000
2015-12-30,17.290000,15.960000
2015-12-31,18.210000,17.520000
2016-01-04,20.700000,21.930000
2016-01-05,19.340000,19.370000
2016-01-06,20.590000,20.600000
2016-01-07,24.990000,26.190000
2016-01-08,27.010000,27.980000
2016-01-11,24.300000,24.210000
2016-01-12,22.470000,22.300000
2016-01-13,25.220000,25.570000
2016-01-14,23.950000,24.630000
2016-01-15,27.020000,29.600000
2016-01-19,26.050000,30.430000
2016-01-20,27.590000,32.850000
2016-01-21,26.690000,29.990000
2016-01-22,22.340000,22.590000
2016-01-25,24.150000,26.040000
2016-01-26,22.500000,24.250000
2016-01-27,23.110000,24.510000
2016-01-28,22.420000,23.400000
2016-01-29,20.200000,19.370000
2016-02-01,19.980000,19.680000
2016-02-02,21.980000,22.190000
2016-02-03,21.650000,22.350000
2016-02-04,21.840000,21.750000
2016-02-05,23.380000,22.960000
2016-02-08,26.000000,26.400000
2016-02-09,26.540000,26.840000
2016-02-10,26.290000,25.530000
2016-02-11,28.140000,27.360000
2016-02-12,25.400000,22.710000
2016-02-16,24.110000,21.810000
2016-02-17,22.310000,20.270000
2016-02-18,21.640000,19.530000
2016-02-19,20.530000,18.220000
2016-02-22,19.380000,18.390000
2016-02-23,20.980000,20.690000
2016-02-24,20.720000,20.720000
2016-02-25,19.110000,17.790000
2016-02-26,19.810000,18.560000
2016-02-29,20.550000,20.360000
2016-03-01,17.700000,17.040000
2016-03-02,17.090000,15.780000
2016-03-03,16.700000,15.910000
2016-03-04,16.860000,15.860000
2016-03-07,17.350000,17.660000
2016-03-08,18.670000,19.170000
2016-03-09,18.340000,18.790000
2016-03-10,18.050000,17.660000
2016-03-11,16.500000,15.200000
2016-03-14,16.920000,15.990000
2016-03-15,16.840000,16.460000
2016-03-16,14.990000,14.070000
2016-03-17,14.440000,13.050000
2016-03-18,14.020000,12.470000
2016-03-21,13.790000,12.770000
2016-03-22,14.170000,13.140000
2016-03-23,14.940000,13.360000
2016-03-24,14.740000,12.350000
2016-03-28,15.240000,14.070000
2016-03-29,13.820000,12.170000
2016-03-30,13.560000,11.870000
2016-03-31,13.950000,12.250000
2016-04-01,13.100000,10.920000
2016-04-04,14.120000,12.500000
2016-04-05,15.420000,13.960000
2016-04-06,14.090000,12.560000
2016-04-07,16.160000,15.200000
2016-04-08,15.360000,13.590000
2016-04-11,16.260000,15.590000
2016-04-12,14.850000,13.710000
2016-04-13,13.840000,12.450000
2016-04-14,13.720000,12.320000
2016-04-15,13.620000,12.200000
2016-04-18,13.350000,12.860000
2016-04-19,13.240000,12.860000
2016-04-20,13.280000,12.800000
2016-04-21,13.950000,13.180000
2016-04-22,13.220000,11.930000
2016-04-25,14.080000,13.620000
2016-04-26,13.960000,13.500000
2016-04-27,13.770000,12.810000
2016-04-28,15.220000,14.550000
2016-04-29,15.700000,14.790000
2016-05-02,14.680000,13.770000
2016-05-03,15.600000,15.170000
2016-05-04,16.050000,15.470000
2016-05-05,15.910000,15.370000
2016-05-06,14.720000,13.380000
2016-05-09,14.570000,13.860000
2016-05-10,13.630000,12.800000
2016-05-11,14.690000,13.750000
2016-05-12,14.410000,13.460000
2016-05-13,15.040000,14.150000
2016-05-16,14.680000,13.590000
2016-05-17,15.570000,15.110000
2016-05-18,15.950000,15.340000
2016-05-19,16.330000,15.280000
2016-05-20,15.200000,12.730000
2016-05-23,15.820000,13.600000
2016-05-24,14.420000,11.910000
2016-05-25,13.900000,11.410000
2016-05-26,13.430000,10.460000
2016-05-27,13.120000,9.770000
2016-05-31,14.190000,11.850000
2016-06-01,14.200000,11.610000
2016-06-02,13.630000,11.010000
2016-06-03,13.470000,10.110000
2016-06-06,13.650000,11.260000
2016-06-07,14.050000,11.560000
2016-06-08,14.080000,10.890000
2016-06-09,14.640000,12.230000
2016-06-10,17.030000,15.830000
2016-06-13,20.970000,22.940000
2016-06-14,20.500000,23.350000
2016-06-15,20.140000,22.600000
2016-06-16,19.370000,21.890000
2016-06-17,19.410000,22.000000
2016-06-20,18.370000,22.210000
2016-06-21,18.480000,22.470000
2016-06-22,21.170000,27.860000
2016-06-23,17.250000,21.130000
2016-06-24,25.760000,30.710000
2016-06-27,23.850000,25.060000
2016-06-28,18.750000,19.080000
2016-06-29,16.640000,15.860000
2016-06-30,15.630000,14.050000
2016-07-01,14.770000,11.850000
2016-07-05,15.580000,14.190000
2016-07-06,14.960000,13.180000
2016-07-07,14.760000,13.110000
2016-07-08,13.200000,11.430000
2016-07-11,13.540000,12.230000
2016-07-12,13.550000,12.250000
2016-07-13,13.040000,11.110000
2016-07-14,12.820000,10.930000
2016-07-15,12.670000,10.260000
2016-07-18,12.440000,10.990000
2016-07-19,11.970000,11.020000
2016-07-20,11.770000,10.430000
2016-07-21,12.740000,11.500000
2016-07-22,12.020000,10.220000
2016-07-25,12.870000,11.930000
2016-07-26,13.050000,11.980000
2016-07-27,12.830000,11.610000
2016-07-28,12.720000,11.790000
