date,aapl_open,aapl_high,aapl_low,aapl_close,aapl_volume,vxapl_open,vxapl_high,vxapl_low,vxapl_close,vix_open,vix_high,vix_low,vix_close,vix9d_open,vix9d_high,vix9d_low,vix9d_close,earnings_flag,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,source_ids
2014-03-13,16.84567095,16.91525434,16.58613939,16.63284302,257742800,19.71,20.98,19.36,20.66,14.28,16.66,14.24,16.22,13.79,18.16,13.65,17.21,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-14,16.57453803,16.64036168,16.39305514,16.44602776,237199200,20.69,21.56,20.49,21.27,16.74,18.22,16.09,17.82,18.3,21.44,17.2,20.64,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-17,16.54037562,16.61152582,16.4823878,16.51028442,199544800,20.77,20.78,19.15,19.65,16.39,16.4,15.37,15.64,18.34,18.34,15.87,15.87,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-18,16.48395023,16.67420968,16.46200957,16.65634346,209647200,19.82,19.91,18.57,18.61,15.42,15.47,14.16,14.52,15.35,15.54,13.5,14.23,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-19,16.68330154,16.8080504,16.58111773,16.65195656,224756000,19.13,19.38,18.66,19.14,14.56,15.95,13.89,15.12,14.26,16.36,11.79,15.0,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-20,16.60901559,16.69615382,16.52940183,16.57171631,208398400,19.4,19.71,19.06,19.63,15.58,15.62,14.5,14.52,15.29,15.64,14.15,14.22,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-21,16.67295583,16.73000287,16.49742894,16.70241928,374046400,20.75,20.76,19.8,20.3,13.96,15.17,13.77,15.0,12.92,15.12,12.65,14.7,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-24,16.87637938,16.94157527,16.77106192,16.9005146,355700800,21.65,21.93,20.74,20.82,14.7,16.07,14.56,15.09,14.88,17.44,14.72,15.3,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-25,16.97292709,17.10613955,16.91305773,17.08231735,282293200,21.08,21.15,20.01,20.21,14.16,15.05,13.96,14.02,13.94,15.4,13.24,13.87,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-26,17.1302712,17.20800509,16.89017445,16.91901016,299768000,20.38,20.74,20.0,20.72,13.64,15.28,13.46,14.93,13.23,15.76,13.1,15.56,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-03-27,16.92653208,16.97292266,16.77294583,16.84629059,222031600,20.97,21.9,20.97,21.52,15.0,15.63,14.49,14.62,15.33,16.46,14.87,15.17,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
