announcement_date,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,vxapl_close,iv_var,pre_rv20_var,pre_rv20,market_term_slope,relative_iv,iv_runup_5,iv_z_252,hist_abs_gap_4,hist_abs_eps_surprise_4,event_gap,abs_event_gap,post_rv5_var,post_rv5,post_rv20_var,post_rv20,vrp20,vrp5
2017-08-01,2017-06-30,0.39,0.42,0.07692308,27.41,0.07513081,0.01651494,0.12851048,0.0116,2.71655104,0.06446602,1.9069676,0.04210325,0.02535682,0.05969492,0.05969492,0.12898477,0.35914449,0.06368706,0.25236295,0.01144375,-0.05385396
2017-11-02,2017-09-30,0.47,0.52,0.10638298,30.27,0.09162729,0.04110971,0.20275529,0.0139,3.04833837,0.1483308,2.45883829,0.03810686,0.04458759,0.03443648,0.03443648,0.04270228,0.20664529,0.03299128,0.18163503,0.05863601,0.04892501
2018-02-01,2017-12-31,0.95,0.97,0.02105263,34.01,0.11566801,0.02212391,0.14874107,-0.0039,2.52487008,0.14050973,2.99853595,0.03824418,0.06508577,-0.01066591,0.01066591,0.27876239,0.52797953,0.12508239,0.35366988,-0.00941438,-0.16309438
2018-05-01,2018-03-31,0.67,0.68,0.01492537,28.98,0.08398404,0.07158076,0.2675458,-0.0021,1.87088444,-0.11049724,1.13587271,0.02947464,0.06108967,0.03560912,0.03560912,0.17276037,0.41564452,0.05094032,0.22569962,0.03304372,-0.08877633
2018-07-31,2018-06-30,0.54,0.58,0.07407407,29.64,0.08785296,0.02242357,0.14974503,0.0119,2.31021044,0.26396588,1.30025525,0.03510161,0.05482102,0.04540884,0.04540884,0.21321459,0.46175166,0.0656921,0.25630469,0.02216086,-0.12536163
2018-11-01,2018-09-30,0.7,0.73,0.04285714,46.86,0.21958596,0.11491528,0.33899157,-0.022,2.4229576,0.25327628,3.70590923,0.03153009,0.05410876,-0.05870564,0.05870564,0.33064631,0.57501853,0.22228393,0.47146997,-0.00269797,-0.11106035
2019-01-29,2018-12-31,1.04,1.04,0.0,36.28,0.13162384,0.20558371,0.4534134,-0.0082,1.89649765,0.01567749,,0.03759738,0.03822731,0.05392445,0.05392445,0.27686683,0.52618137,0.07901252,0.28109166,0.05261132,-0.14524299
2019-04-30,2019-03-31,0.59,0.62,0.05084746,30.35,0.09211225,0.02204214,0.14846596,0.0068,2.3132622,0.0608179,,0.04841201,0.03296415,0.04487432,0.04487432,0.1754162,0.41882717,0.12557677,0.35436813,-0.03346452,-0.08330395
2019-07-30,2019-06-30,0.52,0.55,0.05769231,28.64,0.08202496,0.02544655,0.15951973,-0.0052,2.05451937,0.0095171,,0.05072831,0.04194467,0.03593986,0.03593986,0.23116426,0.48079545,0.14649238,0.38274323,-0.06446742,-0.1491393
2019-10-30,2019-09-30,0.71,0.76,0.07042254,35.14,0.12348196,0.04181618,0.20449005,0.0166,2.84995945,0.21465607,,0.04836107,0.03784923,0.01622855,0.01622855,0.0669391,0.25872592,0.03204412,0.1790087,0.09143784,0.05654286
2020-01-28,2019-12-31,1.13,1.25,0.10619469,34.34,0.11792356,0.05247719,0.229079,-0.0206,2.10933661,0.074132,,0.03774179,0.04474058,0.0210554,0.0210554,0.17894978,0.42302456,0.12073849,0.34747444,-0.00281493,-0.06102622
2020-04-30,2020-03-31,0.52,0.64,0.23076923,39.11,0.15295921,0.20473604,0.45247767,0.0127,1.14524158,-0.19327558,,0.02952453,0.07128925,-0.02603413,0.02603413,0.04505974,0.21227281,0.03973825,0.19934454,0.11322096,0.10789947
2020-07-30,2020-06-30,0.51,0.64,0.25490196,34.93,0.12201049,0.07426018,0.27250721,0.0197,1.41074313,-0.15566836,-0.07460811,0.02481449,0.11626969,0.06728668,0.06728668,0.59299201,0.77005974,0.23199055,0.48165397,-0.10998006,-0.47098152
2020-10-29,2020-09-30,0.69,0.73,0.05797101,49.71,0.24710841,0.16263249,0.40327719,-0.0675,1.32242618,0.0264299,,0.03265119,0.1655721,-0.03764035,0.03764035,0.3212835,0.56681875,0.11625993,0.3409691,0.13084848,-0.07417509
2021-01-27,2020-12-31,1.41,1.68,0.19148936,50.72,0.25725184,0.10247786,0.32012164,-0.0443,1.36307444,0.11816578,,0.03800414,0.16245922,-0.01804127,0.01804127,0.15584274,0.39476923,0.08397085,0.28977723,0.17328099,0.1014091
2021-04-28,2021-03-31,1.0,1.4,0.4,31.55,0.09954025,0.05069582,0.22515732,0.0366,1.82581019,-0.08284884,,0.03725061,0.18378289,0.02140454,0.02140454,0.08072973,0.28412977,0.06195938,0.24891642,0.03758087,0.01881052
2021-07-27,2021-06-30,1.0,1.3,0.3,30.99,0.09603801,0.05142569,0.22677232,0.022,1.60072314,-0.0603396,,0.03609321,0.22609058,-0.01344406,0.01344406,0.01697499,0.1302881,0.0240126,0.15496001,0.07202541,0.07906302
2021-10-28,2021-09-30,1.24,1.24,0.0,26.97,0.07273809,0.03295104,0.1815242,0.0222,1.63157895,0.04171495,-1.0219983,0.02263255,0.23736509,-0.03569559,0.03569559,0.0264589,0.16266193,0.04536063,0.21298035,0.02737746,0.04627919
2022-01-27,2021-12-31,1.89,2.1,0.11111111,45.91,0.21077281,0.04752224,0.21799597,-0.0254,1.50573959,0.19900757,2.77882797,0.02214636,0.22287234,0.03995247,0.03995247,0.2796835,0.52885112,0.11955384,0.34576559,0.09121897,-0.06891069
2022-04-28,2022-03-31,1.43,1.52,0.06293706,41.94,0.17589636,0.10313796,0.32115099,-0.0226,1.39846616,0.14246799,2.31995677,0.02762416,0.20277778,-0.01106079,0.01106079,0.32195573,0.56741143,0.24650028,0.49648794,-0.07060392,-0.14605937
2022-07-28,2022-06-30,1.14,1.2,0.05263158,33.34,0.11115556,0.0669225,0.25869383,0.0152,1.49305867,-0.04332855,-0.03897011,0.02503823,0.11851204,0.02442129,0.02442129,0.12997464,0.36051996,0.06111866,0.24722188,0.0500369,-0.01881908
2022-10-27,2022-09-30,1.26,1.29,0.02380952,44.85,0.20115225,0.12353715,0.35147852,-0.0238,1.63745893,0.02914181,1.5767096,0.02778253,0.05666994,0.0232093,0.0232093,0.46278493,0.68028298,0.24679015,0.49677978,-0.0456379,-0.26163268
2023-02-02,2022-12-31,1.93,1.88,-0.02590674,36.88,0.13601344,0.06807302,0.26090808,-0.004,1.96903364,0.13651772,0.05306,0.02466096,0.06262232,-0.0186721,0.0186721,0.08251045,0.28724632,0.06222453,0.24944845,0.07378891,0.05350299
2023-05-04,2023-03-31,1.44,1.52,0.05555556,32.97,0.10870209,0.03584236,0.18932078,0.0021,1.64111498,0.14838036,-0.42828929,0.01934087,0.04132123,0.03082464,0.03082464,0.11654084,0.34138079,0.04337443,0.20826528,0.06532766,-0.00783875
2023-08-03,2023-06-30,1.19,1.26,0.05882353,27.6,0.076176,0.01706445,0.13063096,0.0086,1.73366834,0.05142857,-0.59370899,0.02428183,0.03947585,-0.03000027,0.03000027,0.1428917,0.37801018,0.07126749,0.26695972,0.00490851,-0.0667157
2023-11-02,2023-09-30,1.39,1.46,0.05035971,27.69,0.07667361,0.03333225,0.18257122,0.005,1.76819923,-0.15527761,-0.23680008,0.02567658,0.04102384,-0.01893115,0.01893115,0.02441361,0.15624854,0.02063699,0.14365581,0.05603662,0.05226
2024-02-01,2023-12-31,2.09,2.18,0.0430622,28.12,0.07907344,0.04386902,0.20944932,0.006,2.0259366,0.15720165,0.65748498,0.02460704,0.04766138,-0.03818096,0.03818096,0.01173809,0.10834249,0.01303095,0.11415317,0.06604249,0.06733535
2024-05-02,2024-03-31,1.51,1.53,0.01324503,28.96,0.08386816,0.06225725,0.24951404,-0.0018,1.97275204,-0.01563562,1.36264088,0.02948426,0.05195025,0.07577015,0.07577015,0.1802255,0.42452974,0.06345111,0.25189503,0.02041705,-0.09635734
2024-08-01,2024-06-30,1.34,1.4,0.04477612,32.12,0.10316944,0.05501119,0.23454464,-0.0095,1.72781065,0.02423469,2.08027435,0.04072063,0.04137262,0.00361129,0.00361129,0.15151259,0.38924618,0.05299716,0.23021112,0.05017228,-0.04834315
2024-10-31,2024-09-30,1.49,1.64,0.10067114,32.15,0.10336225,0.03784812,0.19454593,-0.0289,1.38816926,0.11399861,1.89300358,0.03412339,0.03786077,-0.02210976,0.02210976,0.0350172,0.18712883,0.02311771,0.1520451,0.08024454,0.06834505
