date,action,position_id,structure,quantity,direction,net_cash_flow,edge_after_costs,reasons,reason,realized_pnl,gross_option_pnl,commission,slippage,shares,gross_cash_flow
2022-07-25,entry,P0013,iron_butterfly,12.0,short_vol,21559.589999999997,3150.292160864174,,,,,,,,
2022-07-26,entry_rejected,,,,,,,"['Trade cooldown active (1 < 5 days).', 'Open position count 3 >= maximum 3.']",,,,,,,
2022-07-27,entry_rejected,,,,,,,"['Trade cooldown active (2 < 5 days).', 'Open position count 3 >= maximum 3.']",,,,,,,
2022-07-28,entry_rejected,,,,,,,"['Trade cooldown active (3 < 5 days).', 'Open position count 3 >= maximum 3.']",,,,,,,
2022-07-29,entry_skipped,,,,,,-942.6829155611462,,insufficient_edge_after_costs,,,,,,
2022-07-29,exit,P0011,,,,,,,maximum_holding_period,-1884.520000000015,-1475.1000000000095,114.4,295.0200000000007,,
2022-08-01,entry,P0014,iron_butterfly,14.0,short_vol,23660.0,1993.3875360692227,,,,,,,,
2022-08-01,hedge,,,,,-71077.42264199999,,,,,,,,173.0,-71070.31632099999
2022-08-02,entry_rejected,,,,,,,"['Trade cooldown active (1 < 5 days).', 'Duplicate iron_butterfly already open for expiration 2022-09-06.', 'Open position count 3 >= maximum 3.']",,,,,,,
2022-08-03,entry_rejected,,,,,,,"['Trade cooldown active (2 < 5 days).', 'Open position count 3 >= maximum 3.']",,,,,,,
2022-08-03,exit,P0012,,,,,,,maximum_holding_period,-1365.5700000000033,-1059.9750000000022,93.60000000000001,211.99500000000012,,
2022-08-03,hedge,,,,,-35649.82854,,,,,,,,86.0,-35646.26427
2022-08-04,entry_skipped,,,,,,-646.6222596803548,,insufficient_edge_after_costs,,,,,,
2022-08-05,entry_skipped,,,,,,-292.69901818014546,,insufficient_edge_after_costs,,,,,,
2022-08-08,entry_skipped,,,,,,-824.4165615213395,,insufficient_edge_after_costs,,,,,,
2022-08-09,entry,P0015,iron_butterfly,14.0,short_vol,22720.880000000005,420.9340759333646,,,,,,,,
2022-08-09,exit,P0013,,,,,,,maximum_holding_period,-779.3400000000001,-597.4500000000007,62.400000000000006,119.4899999999997,,
2022-08-09,hedge,,,,,45239.450300000004,,,,,,,,-110.0,45243.975150000006
2022-08-10,entry_rejected,,,,,,,['Trade cooldown active (1 < 5 days).'],,,,,,,
2022-08-11,entry_rejected,,,,,,,['Trade cooldown active (2 < 5 days).'],,,,,,,
2022-08-12,entry_rejected,,,,,,,['Trade cooldown active (3 < 5 days).'],,,,,,,
2022-08-15,entry,P0016,iron_butterfly,11.0,short_vol,18091.672500000004,2197.018558953806,,,,,,,,
2022-08-15,hedge,,,,,-62197.136940000004,,,,,,,,145.0,-62190.918470000004
2022-08-16,entry_rejected,,,,,,,"['Trade cooldown active (1 < 5 days).', 'Open position count 3 >= maximum 3.']",,,,,,,
2022-08-16,exit,P0014,,,,,,,maximum_holding_period,-969.0799999999981,-746.8999999999978,72.8,149.3800000000001,,
2022-08-16,hedge,,,,,77330.53080000001,,,,,,,,-180.0,77338.2654
2022-08-17,entry_rejected,,,,,,,['Trade cooldown active (2 < 5 days).'],,,,,,,
