as_of_date,model_name,expected_variance,median_variance,lower_quantile,upper_quantile,monte_carlo_standard_error,heston_used,heston_failure
2022-03-23,ensemble,0.02604677096689903,0.02604677096689903,0.02604677096689903,0.02604677096689903,0.0,True,
2022-03-24,ensemble,0.025047959183424777,0.025047959183424777,0.025047959183424777,0.025047959183424777,0.0,True,
2022-03-25,ensemble,0.024994053675670418,0.024994053675670418,0.024994053675670418,0.024994053675670418,0.0,True,
2022-03-28,ensemble,0.02509426890971669,0.02509426890971669,0.02509426890971669,0.02509426890971669,0.0,True,
2022-03-29,ensemble,0.025569246672058486,0.025569246672058486,0.025569246672058486,0.025569246672058486,0.0,True,
2022-03-30,ensemble,0.0258305135498442,0.0258305135498442,0.0258305135498442,0.0258305135498442,0.0,True,
2022-03-31,ensemble,0.025089937081484933,0.025089937081484933,0.025089937081484933,0.025089937081484933,0.0,True,
2022-04-01,ensemble,0.024994812751825853,0.024994812751825853,0.024994812751825853,0.024994812751825853,0.0,True,
2022-04-04,ensemble,0.02513008021048193,0.02513008021048193,0.02513008021048193,0.02513008021048193,0.0,True,
2022-04-05,ensemble,0.02532946169556941,0.02532946169556941,0.02532946169556941,0.02532946169556941,0.0,True,
2022-04-06,ensemble,0.025104287997521773,0.025104287997521773,0.025104287997521773,0.025104287997521773,0.0,True,
2022-04-07,ensemble,0.02506274849461371,0.02506274849461371,0.02506274849461371,0.02506274849461371,0.0,True,
2022-04-08,ensemble,0.02497438036092736,0.02497438036092736,0.02497438036092736,0.02497438036092736,0.0,True,
2022-04-11,ensemble,0.02583991377610208,0.02583991377610208,0.02583991377610208,0.02583991377610208,0.0,True,
2022-04-12,ensemble,0.025280864914789106,0.025280864914789106,0.025280864914789106,0.025280864914789106,0.0,True,
2022-04-13,ensemble,0.025377861179215873,0.025377861179215873,0.025377861179215873,0.025377861179215873,0.0,True,
2022-04-14,ensemble,0.025571297113262344,0.025571297113262344,0.025571297113262344,0.025571297113262344,0.0,True,
2022-04-18,ensemble,0.0256304036421606,0.0256304036421606,0.0256304036421606,0.0256304036421606,0.0,True,
2022-04-19,ensemble,0.025776015807431423,0.025776015807431423,0.025776015807431423,0.025776015807431423,0.0,True,
2022-04-20,ensemble,0.02577502297960393,0.02577502297960393,0.02577502297960393,0.02577502297960393,0.0,True,
2022-04-21,ensemble,0.02542946069242397,0.02542946069242397,0.02542946069242397,0.02542946069242397,0.0,True,
2022-04-22,ensemble,0.026209743869359047,0.026209743869359047,0.026209743869359047,0.026209743869359047,0.0,True,
2022-04-25,ensemble,0.026540605788063425,0.026540605788063425,0.026540605788063425,0.026540605788063425,0.0,True,
2022-04-26,ensemble,0.027607080214257992,0.027607080214257992,0.027607080214257992,0.027607080214257992,0.0,True,
2022-04-27,ensemble,0.02749660465300626,0.02749660465300626,0.02749660465300626,0.02749660465300626,0.0,True,
2022-04-28,ensemble,0.02793049458555167,0.02793049458555167,0.02793049458555167,0.02793049458555167,0.0,True,
2022-04-29,ensemble,0.02960522241789341,0.02960522241789341,0.02960522241789341,0.02960522241789341,0.0,True,
2022-05-02,ensemble,0.030483128884953446,0.030483128884953446,0.030483128884953446,0.030483128884953446,0.0,True,
2022-05-03,ensemble,0.030636822729206127,0.030636822729206127,0.030636822729206127,0.030636822729206127,0.0,True,
2022-05-04,ensemble,0.031490536085058946,0.031490536085058946,0.031490536085058946,0.031490536085058946,0.0,True,
2022-05-05,ensemble,0.03305754300174945,0.03305754300174945,0.03305754300174945,0.03305754300174945,0.0,True,
2022-05-06,ensemble,0.03283610584177484,0.03283610584177484,0.03283610584177484,0.03283610584177484,0.0,True,
2022-05-09,ensemble,0.0367088581530992,0.0367088581530992,0.0367088581530992,0.0367088581530992,0.0,True,
2022-05-10,ensemble,0.03507013218179899,0.03507013218179899,0.03507013218179899,0.03507013218179899,0.0,True,
2022-05-11,ensemble,0.03553680051432887,0.03553680051432887,0.03553680051432887,0.03553680051432887,0.0,True,
2022-05-12,ensemble,0.03436062476951733,0.03436062476951733,0.03436062476951733,0.03436062476951733,0.0,True,
2022-05-13,ensemble,0.03514055347693121,0.03514055347693121,0.03514055347693121,0.03514055347693121,0.0,True,
2022-05-16,ensemble,0.03465982142210798,0.03465982142210798,0.03465982142210798,0.03465982142210798,0.0,True,
2022-05-17,ensemble,0.03543278729949489,0.03543278729949489,0.03543278729949489,0.03543278729949489,0.0,True,
2022-05-18,ensemble,0.03673962224604147,0.03673962224604147,0.03673962224604147,0.03673962224604147,0.0,True,
2022-05-19,ensemble,0.03703420332906507,0.03703420332906507,0.03703420332906507,0.03703420332906507,0.0,True,
2022-05-20,ensemble,0.03641800909571161,0.03641800909571161,0.03641800909571161,0.03641800909571161,0.0,True,
2022-05-23,ensemble,0.03755861469754898,0.03755861469754898,0.03755861469754898,0.03755861469754898,0.0,True,
2022-05-24,ensemble,0.037438317877698434,0.037438317877698434,0.037438317877698434,0.037438317877698434,0.0,True,
2022-05-25,ensemble,0.0373698577542004,0.0373698577542004,0.0373698577542004,0.0373698577542004,0.0,True,
2022-05-26,ensemble,0.03764666048056112,0.03764666048056112,0.03764666048056112,0.03764666048056112,0.0,True,
2022-05-27,ensemble,0.03816958511144783,0.03816958511144783,0.03816958511144783,0.03816958511144783,0.0,True,
2022-05-31,ensemble,0.038539291405331605,0.038539291405331605,0.038539291405331605,0.038539291405331605,0.0,True,
2022-06-01,ensemble,0.038725036315163955,0.038725036315163955,0.038725036315163955,0.038725036315163955,0.0,True,
2022-06-02,ensemble,0.038598719544377144,0.038598719544377144,0.038598719544377144,0.038598719544377144,0.0,True,
2022-06-03,ensemble,0.03874078707890968,0.03874078707890968,0.03874078707890968,0.03874078707890968,0.0,True,
2022-06-06,ensemble,0.03883187119274487,0.03883187119274487,0.03883187119274487,0.03883187119274487,0.0,True,
2022-06-07,ensemble,0.03884496668521424,0.03884496668521424,0.03884496668521424,0.03884496668521424,0.0,True,
2022-06-08,ensemble,0.03872721379835801,0.03872721379835801,0.03872721379835801,0.03872721379835801,0.0,True,
2022-06-09,ensemble,0.03924227116259164,0.03924227116259164,0.03924227116259164,0.03924227116259164,0.0,True,
2022-06-10,ensemble,0.04007143395155624,0.04007143395155624,0.04007143395155624,0.04007143395155624,0.0,True,
2022-06-13,ensemble,0.043019655881494874,0.043019655881494874,0.043019655881494874,0.043019655881494874,0.0,True,
2022-06-14,ensemble,0.042695025084355964,0.042695025084355964,0.042695025084355964,0.042695025084355964,0.0,True,
2022-06-15,ensemble,0.04391791683270704,0.04391791683270704,0.04391791683270704,0.04391791683270704,0.0,True,
2022-06-16,ensemble,0.044611165657169896,0.044611165657169896,0.044611165657169896,0.044611165657169896,0.0,True,
2022-06-17,ensemble,0.04362269996062848,0.04362269996062848,0.04362269996062848,0.04362269996062848,0.0,True,
2022-06-21,ensemble,0.04460061657315337,0.04460061657315337,0.04460061657315337,0.04460061657315337,0.0,True,
2022-06-22,ensemble,0.04454025379176978,0.04454025379176978,0.04454025379176978,0.04454025379176978,0.0,True,
2022-06-23,ensemble,0.04434682432943455,0.04434682432943455,0.04434682432943455,0.04434682432943455,0.0,True,
2022-06-24,ensemble,0.04525394023674132,0.04525394023674132,0.04525394023674132,0.04525394023674132,0.0,True,
2022-06-27,ensemble,0.04547034609935656,0.04547034609935656,0.04547034609935656,0.04547034609935656,0.0,True,
2022-06-28,ensemble,0.04576642172989963,0.04576642172989963,0.04576642172989963,0.04576642172989963,0.0,True,
2022-06-29,ensemble,0.04568493647110111,0.04568493647110111,0.04568493647110111,0.04568493647110111,0.0,True,
2022-06-30,ensemble,0.04566297046140519,0.04566297046140519,0.04566297046140519,0.04566297046140519,0.0,True,
2022-07-01,ensemble,0.045342889202563755,0.045342889202563755,0.045342889202563755,0.045342889202563755,0.0,True,
2022-07-05,ensemble,0.04539109768866259,0.04539109768866259,0.04539109768866259,0.04539109768866259,0.0,True,
2022-07-06,ensemble,0.0454284359538255,0.0454284359538255,0.0454284359538255,0.0454284359538255,0.0,True,
2022-07-07,ensemble,0.04565799169305632,0.04565799169305632,0.04565799169305632,0.04565799169305632,0.0,True,
2022-07-08,ensemble,0.04500737789391496,0.04500737789391496,0.04500737789391496,0.04500737789391496,0.0,True,
2022-07-11,ensemble,0.04502367324179797,0.04502367324179797,0.04502367324179797,0.04502367324179797,0.0,True,
2022-07-12,ensemble,0.04487985400233916,0.04487985400233916,0.04487985400233916,0.04487985400233916,0.0,True,
2022-07-13,ensemble,0.044759523001179476,0.044759523001179476,0.044759523001179476,0.044759523001179476,0.0,True,
2022-07-14,ensemble,0.044782150049498495,0.044782150049498495,0.044782150049498495,0.044782150049498495,0.0,True,
2022-07-15,ensemble,0.045655061910491596,0.045655061910491596,0.045655061910491596,0.045655061910491596,0.0,True,
2022-07-18,ensemble,0.04548505217045028,0.04548505217045028,0.04548505217045028,0.04548505217045028,0.0,True,
2022-07-19,ensemble,0.045486641657611626,0.045486641657611626,0.045486641657611626,0.045486641657611626,0.0,True,
2022-07-20,ensemble,0.04506678704870429,0.04506678704870429,0.04506678704870429,0.04506678704870429,0.0,True,
2022-07-21,ensemble,0.045412876791188224,0.045412876791188224,0.045412876791188224,0.045412876791188224,0.0,True,
2022-07-22,ensemble,0.044878012493126763,0.044878012493126763,0.044878012493126763,0.044878012493126763,0.0,True,
2022-07-25,ensemble,0.0449787250893616,0.0449787250893616,0.0449787250893616,0.0449787250893616,0.0,True,
2022-07-26,ensemble,0.04486547925917875,0.04486547925917875,0.04486547925917875,0.04486547925917875,0.0,True,
2022-07-27,ensemble,0.045519797843026316,0.045519797843026316,0.045519797843026316,0.045519797843026316,0.0,True,
2022-07-28,ensemble,0.04553366326893794,0.04553366326893794,0.04553366326893794,0.04553366326893794,0.0,True,
2022-07-29,ensemble,0.04550155943947373,0.04550155943947373,0.04550155943947373,0.04550155943947373,0.0,True,
2022-08-01,ensemble,0.04602689181278576,0.04602689181278576,0.04602689181278576,0.04602689181278576,0.0,True,
2022-08-02,ensemble,0.04569682340766829,0.04569682340766829,0.04569682340766829,0.04569682340766829,0.0,True,
2022-08-03,ensemble,0.04585069801300439,0.04585069801300439,0.04585069801300439,0.04585069801300439,0.0,True,
2022-08-04,ensemble,0.045497906506075395,0.045497906506075395,0.045497906506075395,0.045497906506075395,0.0,True,
2022-08-05,ensemble,0.04530892651700803,0.04530892651700803,0.04530892651700803,0.04530892651700803,0.0,True,
2022-08-08,ensemble,0.04519664866643759,0.04519664866643759,0.04519664866643759,0.04519664866643759,0.0,True,
2022-08-09,ensemble,0.045055171132426394,0.045055171132426394,0.045055171132426394,0.045055171132426394,0.0,True,
2022-08-10,ensemble,0.04539322741042394,0.04539322741042394,0.04539322741042394,0.04539322741042394,0.0,True,
2022-08-11,ensemble,0.045187560524515405,0.045187560524515405,0.045187560524515405,0.045187560524515405,0.0,True,
2022-08-12,ensemble,0.04534828715238494,0.04534828715238494,0.04534828715238494,0.04534828715238494,0.0,True,
2022-08-15,ensemble,0.045638786668358786,0.045638786668358786,0.045638786668358786,0.045638786668358786,0.0,True,
2022-08-16,ensemble,0.04577629160210451,0.04577629160210451,0.04577629160210451,0.04577629160210451,0.0,True,
2022-08-17,ensemble,0.045125476725407926,0.045125476725407926,0.045125476725407926,0.045125476725407926,0.0,True,
