as_of_date,direction,implied_variance,forecast_variance,variance_edge,variance_risk_premium,zscore,regime,entry_threshold,approved,model_name
2022-09-19,flat,0.06617344656400001,0.049063108495114964,-0.017110338068885046,0.017110338068885046,-0.32424257274371965,high_vol__flat,0.9375,True,ensemble
2022-09-20,long_vol,0.07380784897599998,0.04942528878563679,-0.024382560190363195,0.024382560190363195,-0.9473030311882432,high_vol__flat,0.9375,True,ensemble
2022-09-21,long_vol,0.07853838100900001,0.04978829673707208,-0.028750084271927934,0.028750084271927934,-1.3096036530217328,high_vol__flat,0.9375,True,ensemble
2022-09-22,long_vol,0.07490785824900001,0.049042980250443964,-0.025864877998556045,0.025864877998556045,-1.0983307768641988,high_vol__flat,0.9375,True,ensemble
2022-09-23,long_vol,0.089491320801,0.049218277910977916,-0.040273042890022086,0.040273042890022086,-2.2806019499909667,high_vol__flat,0.9375,True,ensemble
2022-09-26,long_vol,0.1042837849,0.051099263728942516,-0.05318452117105748,0.05318452117105748,-3.1539915706395982,high_vol__flat,0.9375,True,ensemble
2022-09-27,long_vol,0.106542835281,0.04906930482526736,-0.05747353045573264,0.05747353045573264,-3.167524236488894,high_vol__flat,0.9375,True,ensemble
2022-09-28,long_vol,0.09080639828100001,0.04995190978502881,-0.0408544884959712,0.0408544884959712,-1.9070424493674523,high_vol__flat,0.9375,True,ensemble
2022-09-29,long_vol,0.101237876041,0.05019209072797307,-0.05104578531302693,0.05104578531302693,-2.4786229100764303,high_vol__flat,0.9375,True,ensemble
2022-09-30,long_vol,0.10010326488099999,0.050365680525114136,-0.04973758435588586,0.04973758435588586,-2.258222601995538,high_vol__flat,0.9375,True,ensemble
2022-10-03,long_vol,0.09036997945599999,0.05102096888283936,-0.039349010573160634,0.039349010573160634,-1.5255566461700323,high_vol__flat,0.9375,True,ensemble
2022-10-04,long_vol,0.084490211584,0.051511546043755616,-0.03297866554024438,0.03297866554024438,-1.1007163980294004,high_vol__flat,0.9375,True,ensemble
2022-10-05,flat,0.081557078724,0.05155473886613151,-0.030002339857868494,0.030002339857868494,-0.91174937402254,high_vol__flat,0.9375,True,ensemble
