as_of_date,kappa,theta,xi,rho,v0,mu,model,window_start,window_end,n_observations,calibration_loss,optimizer_success
2015-06-22,2.0,0.013184862001814473,0.3,-0.5,0.013184862001814473,0.10699522252223424,heston,2014-01-02,2015-06-22,369,0.0,False
2015-06-29,2.0,0.013369361817224876,0.3,-0.5,0.013369361817224876,0.08485034071301539,heston,2014-01-02,2015-06-29,374,0.0,False
2015-07-06,2.0,0.013276625486656432,0.3,-0.5,0.013276625486656432,0.08818252727958341,heston,2014-01-02,2015-07-06,378,0.0,False
2015-07-13,2.0,0.013496351417568105,0.3,-0.5,0.013496351417568105,0.09686468743842566,heston,2014-01-02,2015-07-13,383,0.0,False
2015-07-20,2.0,0.013370462137331942,0.3,-0.5,0.013370462137331942,0.10431349238161769,heston,2014-01-02,2015-07-20,388,0.0,False
2015-07-27,2.0,0.013337154901434303,0.3,-0.5,0.013337154901434303,0.08531751248253819,heston,2014-01-02,2015-07-27,393,0.0,False
2015-08-03,2.0,0.013296703282574537,0.3,-0.5,0.013296703282574537,0.09342887717318595,heston,2014-01-02,2015-08-03,398,0.0,False
2015-08-10,2.0,0.013282224096228552,0.3,-0.5,0.013282224096228552,0.09466555035180539,heston,2014-01-02,2015-08-10,403,0.0,False
2015-08-17,2.0,0.01319950393639138,0.3,-0.5,0.01319950393639138,0.09360412092226901,heston,2014-01-02,2015-08-17,408,0.0,False
2015-08-24,2.0,0.015058920042947753,0.3,-0.5,0.015058920042947753,0.029253899923331873,heston,2014-01-02,2015-08-24,413,0.0,False
2015-08-31,2.0,0.01621835196812923,0.3,-0.5,0.01621835196812923,0.0548618526601506,heston,2014-01-02,2015-08-31,418,0.0,False
2015-09-08,2.0,0.017293122838595038,0.3,-0.5,0.017293122838595038,0.054122846221338554,heston,2014-01-02,2015-09-08,423,0.0,False
2015-09-14,2.0,0.017277239010543892,0.3,-0.5,0.017277239010543892,0.04942885005779403,heston,2014-01-02,2015-09-14,427,0.0,False
2015-09-21,2.0,0.017503055783708775,0.3,-0.5,0.017503055783708775,0.050407331741695,heston,2014-01-02,2015-09-21,432,0.0,False
2015-09-28,2.0,0.017789320248053676,0.3,-0.5,0.017789320248053676,0.02472179064333943,heston,2014-01-02,2015-09-28,437,0.0,False
2015-10-05,2.0,0.01808277258362674,0.3,-0.5,0.01808277258362674,0.055558223885494286,heston,2014-01-02,2015-10-05,442,0.0,False
2015-10-12,2.0,0.017967287527405756,0.3,-0.5,0.017967287527405756,0.06357785579979727,heston,2014-01-02,2015-10-12,447,0.0,False
2015-10-19,2.0,0.01794254017455961,0.3,-0.5,0.01794254017455961,0.06805639507162647,heston,2014-01-02,2015-10-19,452,0.0,False
2015-10-26,2.0,0.01798694164297863,0.3,-0.5,0.01798694164297863,0.07718781088238576,heston,2014-01-02,2015-10-26,457,0.0,False
2015-11-02,2.0,0.017944956605051795,0.3,-0.5,0.017944956605051795,0.08528923417183917,heston,2014-01-02,2015-11-02,462,0.0,False
2015-11-09,2.0,0.01781383915469578,0.3,-0.5,0.01781383915469578,0.07844905669155879,heston,2014-01-02,2015-11-09,467,0.0,False
2015-11-16,2.0,0.017935219976925803,0.3,-0.5,0.017935219976925803,0.0714235176025074,heston,2014-01-02,2015-11-16,472,0.0,False
