decision_date,model_name,forecast_realized_variance,implied_variance,variance_edge,variance_edge_zscore,trade_direction,structure_name,spot_at_entry,strike,expiration,days_to_expiration,entry_option_iv,exit_option_iv,subsequent_realized_variance,underlying_return,gross_option_pnl,hedge_pnl,commission,slippage,net_pnl,holding_days,exit_reason
2022-12-05,ensemble,0.060630951274371146,0.042950490025,0.017680461249371143,1.5414423845002516,short_vol,iron_butterfly,399.59,400.0,2023-01-09,35,0.20906075,0.20906075,0.033095209590621705,-0.0476738657123551,-578.6624999999949,,67.60000000000001,115.73250000000039,-761.9949999999917,15,exit
2022-12-13,ensemble,0.059087458098246684,0.050841230400000006,0.008246227698246678,0.9917966720010526,short_vol,iron_butterfly,401.97,402.0,2023-01-17,35,0.22585775,0.22585775,0.03497669567559986,-0.05117297310744595,-502.42499999999563,,57.2,100.485,-660.1099999999933,14,exit
2022-12-20,ensemble,0.05850199704596966,0.046005531121000004,0.012496465924969655,1.0063319123172039,short_vol,iron_butterfly,380.54,381.0,2023-01-24,35,0.2164545,0.2164545,0.032495179239396856,0.008461659746675787,-679.6875000000036,,78.0,135.93750000000026,-893.6250000000036,15,exit
2023-01-12,ensemble,0.05821943263317746,0.035448228729,0.022771203904177466,1.2949352919518902,short_vol,iron_butterfly,396.96,397.0,2023-02-16,35,0.1884205,0.1884205,0.027432162712397512,0.021966948810963283,-627.8000000000065,,83.2,125.56000000000066,-836.5600000000013,15,exit
2023-01-17,ensemble,0.05832424837912331,0.037429093156,0.02089515522312331,1.1686877001585416,short_vol,iron_butterfly,397.77,398.0,2023-02-21,35,0.19516975,0.19516975,0.027340592486787208,0.03275762375241986,-459.90000000000146,,62.400000000000006,91.97999999999999,-614.2800000000061,15,exit
2023-01-23,ensemble,0.05689711290213892,0.039156890161,0.01774022274113892,0.9633292826706135,short_vol,iron_butterfly,400.63,401.0,2023-02-27,35,0.1996095,0.1996095,0.025198150879051546,0.0363427601527595,-490.49999999999636,,62.400000000000006,98.09999999999971,-650.9999999999964,15,exit
2023-01-30,ensemble,0.0571301866771881,0.039662714025,0.0174674726521881,0.802023497134316,short_vol,iron_butterfly,400.59,401.0,2023-03-06,35,0.200895,0.200895,0.02397505911221735,0.016226066551836116,-539.3374999999978,,67.60000000000001,107.86749999999995,-714.8049999999967,10,exit
2023-02-07,ensemble,0.05556401370422889,0.034857636804,0.02070637690022889,1.09932427592991,short_vol,iron_butterfly,415.19,415.0,2023-03-14,35,0.18684575,0.18684575,0.024544199938504666,-0.01950914039355478,-612.1875000000036,,78.0,122.43749999999926,-812.6250000000036,2,exit
2023-02-14,ensemble,0.05537344526988365,0.035683965603999994,0.019689479665883657,0.8902708944401633,short_vol,iron_butterfly,412.64,413.0,2023-03-21,35,0.1877565,0.1877565,0.03036912272752153,-0.010566110895696035,-404.93749999999636,,57.2,80.98749999999993,-543.1249999999964,2,exit
2023-02-21,ensemble,0.05455965580126411,0.052332052643999996,0.002227603157264113,-2.076897766531655,long_vol,long_straddle,399.09,399.0,2023-03-28,35,0.228762,0.228762,0.032531061505997834,-0.0032072965997643754,-114.3125,,13.0,22.862500000000008,-150.17499999999927,9,exit
