as_of_date,model_name,expected_variance,median_variance,lower_quantile,upper_quantile,monte_carlo_standard_error,heston_used,heston_failure,implied_variance,variance_edge,realized_variance,forecast_error,abs_error,edge_sign_correct
2022-03-04,ensemble,0.02260835479931296,0.02260835479931296,0.02260835479931296,0.02260835479931296,0.0,True,,0.10236864240099999,-0.07976028760168703,0.0500753007613037,-0.027466945961990737,0.027466945961990737,True
2022-03-07,ensemble,0.02308596738596647,0.02308596738596647,0.02308596738596647,0.02308596738596647,0.0,True,,0.133187772601,-0.11010180521503354,0.04127019191693021,-0.01818422453096374,0.01818422453096374,True
2022-03-08,ensemble,0.023304200828958455,0.023304200828958455,0.023304200828958455,0.023304200828958455,0.0,True,,0.123589511809,-0.10028531098004155,0.04178708510312644,-0.018482884274167985,0.018482884274167985,True
2022-03-09,ensemble,0.02357270194960761,0.02357270194960761,0.02357270194960761,0.02357270194960761,0.0,True,,0.105543115876,-0.0819704139263924,0.03369013341762304,-0.010117431468015428,0.010117431468015428,True
2022-03-10,ensemble,0.023631075408586513,0.023631075408586513,0.023631075408586513,0.023631075408586513,0.0,True,,0.091632738681,-0.06800166327241348,0.03353037114593272,-0.009899295737346207,0.009899295737346207,True
2022-03-11,ensemble,0.02356624631079123,0.02356624631079123,0.02356624631079123,0.02356624631079123,0.0,True,,0.09459376872099998,-0.07102752241020875,0.035131976977911504,-0.011565730667120275,0.011565730667120275,True
2022-03-14,ensemble,0.023896798173759233,0.023896798173759233,0.023896798173759233,0.023896798173759233,0.0,True,,0.10093329,-0.07703649182624075,0.034651681512332104,-0.010754883338572871,0.010754883338572871,True
2022-03-15,ensemble,0.02518848995376691,0.02518848995376691,0.02518848995376691,0.02518848995376691,0.0,True,,0.089068224249,-0.0638797342952331,0.030530209509956073,-0.005341719556189162,0.005341719556189162,True
2022-03-16,ensemble,0.024784553583051462,0.024784553583051462,0.024784553583051462,0.024784553583051462,0.0,True,,0.070980149241,-0.04619559565794854,0.026642068300100786,-0.0018575147170493238,0.0018575147170493238,True
2022-03-17,ensemble,0.024999972099042873,0.024999972099042873,0.024999972099042873,0.024999972099042873,0.0,True,,0.065920049001,-0.04092007690195713,0.02478905585732291,0.00021091624171996198,0.00021091624171996198,True
2022-03-18,ensemble,0.02493497678064266,0.02493497678064266,0.02493497678064266,0.02493497678064266,0.0,True,,0.056830268881,-0.03189529210035734,0.02713785715715871,-0.002202880376516052,0.002202880376516052,True
2022-03-21,ensemble,0.02497382233591351,0.02497382233591351,0.02497382233591351,0.02497382233591351,0.0,True,,0.055482860304,-0.030509037968086492,0.027143433407246557,-0.002169611071333049,0.002169611071333049,True
2022-03-22,ensemble,0.025037373287797295,0.025037373287797295,0.025037373287797295,0.025037373287797295,0.0,True,,0.052509264200999994,-0.0274718909132027,0.028243365235342106,-0.0032059919475448118,0.0032059919475448118,True
