date,equity,cash,stock_shares,stock_value,option_value,open_positions,unrealized_pnl,realized_pnl,hedge_pnl,cumulative_commissions,cumulative_slippage,drawdown,equity_peak
2022-09-21,984876.7795719998,977151.3745719998,0,0.0,7725.405000000001,1,-50.94749999999931,-13367.420000000016,-1629.8464639999656,989.3000000000001,2146.517713999981,-0.015123220428000184,1000000.0
2022-09-22,984876.7795719998,977151.3745719998,0,0.0,7725.405000000001,1,-50.94749999999931,-13367.420000000016,-1629.8464639999656,989.3000000000001,2146.517713999981,-0.015123220428000184,1000000.0
2022-09-23,984876.7795719998,977151.3745719998,0,0.0,7725.405000000001,1,-50.94749999999931,-13367.420000000016,-1629.8464639999656,989.3000000000001,2146.517713999981,-0.015123220428000184,1000000.0
2022-09-26,984817.8895719998,968386.4245719998,0,0.0,16431.465,2,-109.83750000000055,-13367.420000000016,-1629.8464639999656,993.2,2155.682713999981,-0.015182110428000217,1000000.0
2022-09-27,984817.8895719998,968386.4245719998,0,0.0,16431.465,2,-109.83750000000055,-13367.420000000016,-1629.8464639999656,993.2,2155.682713999981,-0.015182110428000217,1000000.0
2022-09-28,984817.8895719998,968386.4245719998,0,0.0,16431.465,2,-109.83750000000055,-13367.420000000016,-1629.8464639999656,993.2,2155.682713999981,-0.015182110428000217,1000000.0
2022-09-29,984817.8895719998,968386.4245719998,0,0.0,16431.465,2,-109.83750000000055,-13367.420000000016,-1629.8464639999656,993.2,2155.682713999981,-0.015182110428000217,1000000.0
2022-09-30,984817.8895719998,968386.4245719998,0,0.0,16431.465,2,-109.83750000000055,-13367.420000000016,-1629.8464639999656,993.2,2155.682713999981,-0.015182110428000217,1000000.0
2022-10-03,984757.4635739998,981796.7985739998,-59,-21629.99,24590.655,3,-165.9375,-13367.420000000016,19997.980537000036,997.1,2166.5457129999795,-0.015242536426000153,1000000.0
2022-10-04,984087.2235739998,981796.7985739998,-59,-22300.230000000003,24590.655,3,-165.9375,-13367.420000000016,19997.980537000036,997.1,2166.5457129999795,-0.015912776426000197,1000000.0
2022-10-05,984088.1960739999,989471.2560739998,-59,-22248.309999999998,16865.25,2,-114.99000000000069,-13469.315000000017,19997.980537000036,1001.0,2174.3869629999795,-0.015911803926000112,1000000.0
2022-10-06,984317.7060739998,989471.2560739998,-59,-22018.8,16865.25,2,-114.99000000000069,-13469.315000000017,19997.980537000036,1001.0,2174.3869629999795,-0.01568229392600029,1000000.0
2022-10-07,984931.8960739998,989471.2560739998,-59,-21404.61,16865.25,2,-114.99000000000069,-13469.315000000017,19997.980537000036,1001.0,2174.3869629999795,-0.01506810392600022,1000000.0
2022-10-10,985039.3610739997,980768.6010739998,-59,-21241.18,25511.94,3,-170.95499999999902,-13469.315000000017,19997.980537000036,1004.9,2183.0644629999797,-0.014960638926000303,1000000.0
2022-10-11,985114.9910739998,989415.7710739998,-59,-21106.66,16805.88,2,-112.06499999999778,-13587.095000000018,19997.980537000036,1008.8,2192.2294629999797,-0.014885008926000198,1000000.0
2022-10-12,985184.6110739998,989415.7710739998,-59,-21037.04,16805.88,2,-112.06499999999778,-13587.095000000018,19997.980537000036,1008.8,2192.2294629999797,-0.014815388926000206,1000000.0
2022-10-13,984629.4210739998,989415.7710739998,-59,-21592.230000000003,16805.88,2,-112.06499999999778,-13587.095000000018,19997.980537000036,1008.8,2192.2294629999797,-0.015370578926000134,1000000.0
2022-10-14,985121.4810739998,989415.7710739998,-59,-21100.17,16805.88,2,-112.06499999999778,-13587.095000000018,19997.980537000036,1008.8,2192.2294629999797,-0.014878518926000228,1000000.0
2022-10-17,982960.8610739998,980847.3810739998,-59,-21642.38,23755.86,3,-1730.4749999999958,-13587.095000000018,19997.980537000036,1012.6999999999999,2201.0044629999798,-0.017039138926000175,1000000.0
2022-10-18,984212.3310739998,988950.4710739998,-59,-21896.67,17158.53,2,-112.5149999999976,-13699.295000000016,19997.980537000036,1016.5999999999999,2209.7044629999796,-0.015787668926000253,1000000.0
2022-10-19,984367.5010739998,988950.4710739998,-59,-21741.5,17158.53,2,-112.5149999999976,-13699.295000000016,19997.980537000036,1016.5999999999999,2209.7044629999796,-0.01563249892600016,1000000.0
2022-10-20,984549.8110739999,988950.4710739998,-59,-21559.190000000002,17158.53,2,-112.5149999999976,-13699.295000000016,19997.980537000036,1016.5999999999999,2209.7044629999796,-0.015450188926000141,1000000.0
2022-10-21,984025.8910739998,988950.4710739998,-59,-22083.11,17158.53,2,-112.5149999999976,-13699.295000000016,19997.980537000036,1016.5999999999999,2209.7044629999796,-0.015974108926000152,1000000.0
2022-10-24,983414.6310739998,988950.4710739998,-59,-22353.33,16817.489999999998,2,-453.5549999999985,-13699.295000000016,19997.980537000036,1016.5999999999999,2209.7044629999796,-0.016585368926000155,1000000.0
2022-10-25,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-10-26,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-10-27,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-10-28,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-10-31,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-11-01,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-11-02,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-11-03,983281.6640179998,983281.6640179998,0,0.0,0.0,0,0.0,-13924.325000000013,-2714.570490999966,1024.3999999999999,2229.427990999981,-0.016718335982000232,1000000.0
2022-11-04,982838.5207979997,973927.5407979997,86,32366.100000000002,-23455.12,1,-436.6700000000019,-13924.325000000013,-35083.907100999975,1058.1999999999998,2299.8096009999826,-0.017161479202000285,1000000.0
2022-11-07,983148.1207979997,973927.5407979997,86,32675.7,-23455.12,1,-436.6700000000019,-13924.325000000013,-35083.907100999975,1058.1999999999998,2299.8096009999826,-0.016851879202000375,1000000.0
2022-11-08,983324.4207979997,973927.5407979997,86,32852.0,-23455.12,1,-436.6700000000019,-13924.325000000013,-35083.907100999975,1058.1999999999998,2299.8096009999826,-0.016675579202000246,1000000.0
2022-11-09,982647.6007979998,973927.5407979997,86,32175.18,-23455.12,1,-436.6700000000019,-13924.325000000013,-35083.907100999975,1058.1999999999998,2299.8096009999826,-0.017352399202000268,1000000.0
2022-11-10,984020.9960219997,975015.4560219997,138,54467.22,-45461.67999999999,2,-827.3300000000017,-13924.325000000013,-55609.839488999976,1089.3999999999999,2361.7719889999826,-0.015979003978000228,1000000.0
2022-11-11,984548.1560219997,975015.4560219997,138,54994.38,-45461.67999999999,2,-827.3300000000017,-13924.325000000013,-55609.839488999976,1089.3999999999999,2361.7719889999826,-0.015451843978000368,1000000.0
2022-11-14,984080.3360219998,975015.4560219997,138,54526.56,-45461.67999999999,2,-827.3300000000017,-13924.325000000013,-55609.839488999976,1089.3999999999999,2361.7719889999826,-0.015919663978000154,1000000.0
2022-11-15,984545.3960219997,975015.4560219997,138,54991.62,-45461.67999999999,2,-827.3300000000017,-13924.325000000013,-55609.839488999976,1089.3999999999999,2361.7719889999826,-0.015454603978000359,1000000.0
2022-11-16,984125.8760219996,975015.4560219997,138,54572.1,-45461.67999999999,2,-827.3300000000017,-13924.325000000013,-55609.839488999976,1089.3999999999999,2361.7719889999826,-0.015874123978000365,1000000.0
2022-11-17,983329.8351179998,1030958.3651179997,65,25625.600000000002,-73254.13,3,-1450.6350000000093,-13924.325000000013,-26833.197440999975,1133.6,2461.1674409999823,-0.016670164882000238,1000000.0
2022-11-18,983002.7034019997,1041118.3434019997,-21,-8316.63,-49799.009999999995,2,-1013.9650000000074,-14797.66500000002,7221.976701000021,1167.3999999999999,2531.7182989999824,-0.01699729659800031,1000000.0
2022-11-21,983032.9434019997,1041118.3434019997,-21,-8286.39,-49799.009999999995,2,-1013.9650000000074,-14797.66500000002,7221.976701000021,1167.3999999999999,2531.7182989999824,-0.016967056598000352,1000000.0
2022-11-22,982494.6098019998,1090761.0498019997,-91,-36390.9,-71875.54,3,-1435.1900000000096,-14797.66500000002,35212.17740100002,1203.8,2598.655098999982,-0.017505390198000237,1000000.0
2022-11-23,982265.2898019997,1090761.0498019997,-91,-36620.22,-71875.54,3,-1435.1900000000096,-14797.66500000002,35212.17740100002,1203.8,2598.655098999982,-0.017734710198000325,1000000.0
2022-11-25,981878.6355699997,1089280.8055699996,-143,-57533.189999999995,-49868.979999999996,2,-1044.5300000000097,-15578.985000000028,56131.245285000026,1235.0,2660.657214999982,-0.018121364430000342,1000000.0
2022-11-28,982163.9138319996,1091281.6938319996,-84,-33256.44,-75861.34,3,-1672.6400000000103,-15578.985000000028,32770.21941600002,1281.8,2759.878083999981,-0.017836086168000365,1000000.0
2022-11-29,982221.0338319995,1091281.6938319996,-84,-33199.32,-75861.34,3,-1672.6400000000103,-15578.985000000028,32770.21941600002,1281.8,2759.878083999981,-0.017778966168000454,1000000.0
2022-11-30,981175.2338319995,1091281.6938319996,-84,-34245.12,-75861.34,3,-1672.6400000000103,-15578.985000000028,32770.21941600002,1281.8,2759.878083999981,-0.01882476616800055,1000000.0
2022-12-01,981200.4338319997,1091281.6938319996,-84,-34219.92,-75861.34,3,-1672.6400000000103,-15578.985000000028,32770.21941600002,1281.8,2759.878083999981,-0.01879956616800038,1000000.0
2022-12-02,980610.6679459994,1033155.5679459994,-11,-4476.01,-48068.89,2,-1049.3350000000028,-16825.595000000038,3062.818973000023,1326.0,2859.3660269999796,-0.01938933205400062,1000000.0
2022-12-05,983057.0860219994,1080206.3710219995,-79,-31567.609999999997,-65581.675,3,1321.9974999999977,-16825.595000000038,30232.221761000023,1359.8,2919.9494889999805,-0.01694291397800063,1000000.0
2022-12-06,980759.7960219994,1080206.3710219995,-79,-31112.57,-68334.005,3,-1430.3325000000004,-16825.595000000038,30232.221761000023,1359.8,2919.9494889999805,-0.019240203978000525,1000000.0
